,economy,time,EN.ATM.CO2E.PC
180,ALB,YR2014,1.79571244233506
181,ALB,YR2015,1.66521852478371
182,ALB,YR2016,1.5900693334483
183,ALB,YR2017,1.88055711291312
184,ALB,YR2018,1.85464154039805
185,ALB,YR2019,1.74946245713759
186,ALB,YR2020,1.54455011524574
187,ALB,YR2021,
188,ALB,YR2022,
189,AND,YR1960,
190,AND,YR1961,
191,AND,YR1962,
192,AND,YR1963,
193,AND,YR1964,
194,AND,YR1965,
195,AND,YR1966,
196,AND,YR1967,
197,AND,YR1968,
198,AND,YR1969,
199,AND,YR1970,
200,AND,YR1971,
201,AND,YR1972,
202,AND,YR1973,
203,AND,YR1974,
204,AND,YR1975,
205,AND,YR1976,
206,AND,YR1977,
207,AND,YR1978,
208,AND,YR1979,
209,AND,YR1980,
210,AND,YR1981,
211,AND,YR1982,
212,AND,YR1983,
213,AND,YR1984,
214,AND,YR1985,
215,AND,YR1986,
216,AND,YR1987,
217,AND,YR1988,
218,AND,YR1989,
219,AND,YR1990,7.59215217756538
220,AND,YR1991,7.33672475376123
221,AND,YR1992,7.09990747691287
222,AND,YR1993,6.93704780580161
223,AND,YR1994,6.6632370529351
224,AND,YR1995,6.75413170607679
225,AND,YR1996,7.08273185028139
226,AND,YR1997,7.19408799975264
227,AND,YR1998,7.53192403276777
228,AND,YR1999,7.81296169370193
229,AND,YR2000,7.92701635475135
230,AND,YR2001,7.72562665880271
231,AND,YR2002,7.49876497903993
232,AND,YR2003,7.23806946567984
233,AND,YR2004,7.28675600847491
234,AND,YR2005,7.20627364517826
235,AND,YR2006,6.80540008227272
236,AND,YR2007,6.89038992938287
237,AND,YR2008,7.08182236539346
238,AND,YR2009,6.99539619780101
239,AND,YR2010,7.22359093387771
240,AND,YR2011,6.95758640724418
241,AND,YR2012,6.86229281962458
242,AND,YR2013,6.67423318900893
243,AND,YR2014,6.44593066279443
244,AND,YR2015,6.48576924149081
245,AND,YR2016,6.46528811690102
246,AND,YR2017,6.30209786421442
247,AND,YR2018,6.59405703011478
248,AND,YR2019,6.2872038038851
249,AND,YR2020,5.77714799227799
250,AND,YR2021,
251,AND,YR2022,
252,ARB,YR1960,
253,ARB,YR1961,
254,ARB,YR1962,
255,ARB,YR1963,
256,ARB,YR1964,
257,ARB,YR1965,
258,ARB,YR1966,
259,ARB,YR1967,
260,ARB,YR1968,
261,ARB,YR1969,
262,ARB,YR1970,
263,ARB,YR1971,
264,ARB,YR1972,
265,ARB,YR1973,
266,ARB,YR1974,
267,ARB,YR1975,
268,ARB,YR1976,
269,ARB,YR1977,
270,ARB,YR1978,
271,ARB,YR1979,
272,ARB,YR1980,
273,ARB,YR1981,
274,ARB,YR1982,
275,ARB,YR1983,
276,ARB,YR1984,
277,ARB,YR1985,
278,ARB,YR1986,
279,ARB,YR1987,
280,ARB,YR1988,
281,ARB,YR1989,
282,ARB,YR1990,2.79950228424177
283,ARB,YR1991,2.74943224457465
284,ARB,YR1992,2.91197899981832
285,ARB,YR1993,3.05282055028051
286,ARB,YR1994,3.14992599606707
287,ARB,YR1995,3.16719962098698
288,ARB,YR1996,3.20233718802376
289,ARB,YR1997,3.28078469289778
290,ARB,YR1998,3.22404741982528
291,ARB,YR1999,3.19444758793514
292,ARB,YR2000,3.25356746728702
293,ARB,YR2001,3.35763821718705
