,economy,time,NYGDPMKTPKDZ
201,ECU,2022,2.9000001
202,ECU,2023,1.3
203,ECU,2024,0.69999999
204,ECU,2025,2.0
205,EGY,2021,3.3
206,EGY,2022,6.5999999
207,EGY,2023,3.8
208,EGY,2024,3.5
209,EGY,2025,3.9000001
210,EMD,2021,7.0
211,EMD,2022,3.7
212,EMD,2023,4.0
213,EMD,2024,3.9000001
214,EMD,2025,4.0
215,EMU,2021,5.9000001
216,EMU,2022,3.4000001
217,EMU,2023,0.40000001
218,EMU,2024,0.69999999
219,EMU,2025,1.6
220,ERI,2021,2.9000001
221,ERI,2022,2.5
222,ERI,2023,2.5999999
223,ERI,2024,3.2
224,ERI,2025,3.3
225,ETH,2021,6.3000002
226,ETH,2022,6.4000001
227,ETH,2023,5.8000002
228,ETH,2024,6.4000001
229,ETH,2025,7.0
230,FJI,2021,-5.0999999
231,FJI,2022,20.0
232,FJI,2023,7.5999999
233,FJI,2024,4.0
234,FJI,2025,3.7
235,FSM,2021,-3.2
236,FSM,2022,-0.60000002
237,FSM,2023,2.8
238,FSM,2024,2.8
239,FSM,2025,1.3
240,GAB,2021,1.5
241,GAB,2022,3.0
242,GAB,2023,2.7
243,GAB,2024,3.0
244,GAB,2025,2.8
245,GEO,2021,10.5
246,GEO,2022,10.4
247,GEO,2023,6.5
248,GEO,2024,4.8000002
249,GEO,2025,4.5
250,GHA,2021,5.0999999
251,GHA,2022,3.0999999
252,GHA,2023,2.3
253,GHA,2024,2.8
254,GHA,2025,4.4000001
255,GIN,2021,4.3000002
256,GIN,2022,4.6999998
257,GIN,2023,5.0999999
258,GIN,2024,5.8000002
259,GIN,2025,6.1999998
260,GMB,2021,4.3000002
261,GMB,2022,4.3000002
262,GMB,2023,4.8000002
263,GMB,2024,5.3000002
264,GMB,2025,5.5
265,GNB,2021,6.4000001
266,GNB,2022,3.5
267,GNB,2023,2.8
268,GNB,2024,5.5999999
269,GNB,2025,4.5
270,GNQ,2021,-0.89999998
271,GNQ,2022,3.0999999
272,GNQ,2023,-2.5
273,GNQ,2024,-6.0999999
274,GNQ,2025,-3.9000001
275,GRD,2021,4.6999998
276,GRD,2022,6.3000002
277,GRD,2023,3.9000001
278,GRD,2024,3.8
279,GRD,2025,3.5
280,GTM,2021,8.0
281,GTM,2022,4.0999999
282,GTM,2023,3.4000001
283,GTM,2024,3.5
284,GTM,2025,3.5
285,GUY,2021,20.1
286,GUY,2022,63.400002
287,GUY,2023,29.0
288,GUY,2024,38.200001
289,GUY,2025,15.2
290,HND,2021,12.5
291,HND,2022,4.0
292,HND,2023,3.2
293,HND,2024,3.2
294,HND,2025,3.4000001
295,HRV,2021,13.8
296,HRV,2022,6.3000002
297,HRV,2023,2.5
298,HRV,2024,2.7
299,HRV,2025,3.0
300,HTI,2021,-1.8
301,HTI,2022,-1.7
302,HTI,2023,-2.5
303,HTI,2024,1.3
304,HTI,2025,2.2
305,IDN,2021,3.7
306,IDN,2022,5.3000002
307,IDN,2023,5.0
308,IDN,2024,4.9000001
309,IDN,2025,4.9000001
310,IND,2021,9.1000004
311,IND,2022,7.1999998
312,IND,2023,6.3000002
313,IND,2024,6.4000001
314,IND,2025,6.5
315,IRN,2021,4.6999998
316,IRN,2022,3.8
317,IRN,2023,4.1999998
318,IRN,2024,3.7
319,IRN,2025,3.2
320,IRQ,2021,-2.0999999
321,IRQ,2022,7.0
322,IRQ,2023,-2.9000001
323,IRQ,2024,4.1999998
324,IRQ,2025,2.9000001
325,JAM,2021,4.5999999
326,JAM,2022,5.1999998
327,JAM,2023,2.3
328,JAM,2024,2.0
329,JAM,2025,1.4
330,JOR,2021,3.7
331,JOR,2022,2.4000001
332,JOR,2023,2.5999999
333,JOR,2024,2.5
334,JOR,2025,2.5999999
335,JPN,2021,2.5999999
336,JPN,2022,1.0
337,JPN,2023,1.8
338,JPN,2024,0.89999998
339,JPN,2025,0.80000001
340,KAZ,2021,4.3000002
341,KAZ,2022,3.2
342,KAZ,2023,4.5
343,KAZ,2024,4.3000002
344,KAZ,2025,4.5
345,KEN,2021,7.5999999
346,KEN,2022,4.8000002
347,KEN,2023,5.0
348,KEN,2024,5.1999998
349,KEN,2025,5.3000002
350,KGZ,2021,5.5
351,KGZ,2022,6.3000002
352,KGZ,2023,3.5
353,KGZ,2024,4.0
354,KGZ,2025,4.0
355,KHM,2021,3.0
356,KHM,2022,5.1999998
357,KHM,2023,5.4000001
358,KHM,2024,5.8000002
359,KHM,2025,6.0999999
360,KIR,2021,7.9000001
361,KIR,2022,1.2
362,KIR,2023,2.5
363,KIR,2024,2.4000001
364,KIR,2025,2.3
365,KWT,2021,1.3
366,KWT,2022,7.9000001
367,KWT,2023,0.80000001
368,KWT,2024,2.5999999
369,KWT,2025,2.7
370,LAO,2021,2.5
371,LAO,2022,2.7
372,LAO,2023,3.7
373,LAO,2024,4.0999999
374,LAO,2025,4.3000002
375,LBN,2021,-7.0
376,LBN,2022,-0.60000002
377,LBN,2023,0.2
378,LBN,2024,
379,LBN,2025,
380,LBR,2021,5.0
381,LBR,2022,4.8000002
382,LBR,2023,4.5
383,LBR,2024,5.4000001
384,LBR,2025,6.1999998
385,LBY,2021,31.4
386,LBY,2022,-1.2
387,LBY,2023,14.1
388,LBY,2024,4.0999999
389,LBY,2025,4.3000002
390,LCA,2021,12.2
391,LCA,2022,15.9
392,LCA,2023,3.2
393,LCA,2024,2.9000001
394,LCA,2025,2.3
395,LCN,2021,7.1999998
396,LCN,2022,3.9000001
397,LCN,2023,2.2
398,LCN,2024,2.3
399,LCN,2025,2.5
400,LKA,2021,3.5
401,LKA,2022,-7.8000002
402,LKA,2023,-3.8
403,LKA,2024,1.7
404,LKA,2025,2.4000001
405,LSO,2021,1.6
406,LSO,2022,1.8
407,LSO,2023,2.2
408,LSO,2024,2.5
409,LSO,2025,2.0
410,MAR,2021,8.0
411,MAR,2022,1.3
412,MAR,2023,2.8
413,MAR,2024,3.0999999
414,MAR,2025,3.3
415,MDA,2021,13.9
416,MDA,2022,-5.0
417,MDA,2023,1.8
418,MDA,2024,4.1999998
419,MDA,2025,4.0999999
420,MDG,2021,5.6999998
421,MDG,2022,3.8
422,MDG,2023,4.0
423,MDG,2024,4.8000002
424,MDG,2025,4.6999998
425,MDV,2021,37.700001
426,MDV,2022,13.9
427,MDV,2023,6.5
428,MDV,2024,5.1999998
429,MDV,2025,5.5
430,MEA,2021,3.8
431,MEA,2022,5.8000002
432,MEA,2023,1.9
433,MEA,2024,3.5
434,MEA,2025,3.5
435,MEX,2021,5.8000002
436,MEX,2022,3.9000001
437,MEX,2023,3.5999999
438,MEX,2024,2.5999999
439,MEX,2025,2.0999999
440,MHL,2021,1.0
441,MHL,2022,-4.5
442,MHL,2023,3.0
443,MHL,2024,3.0
444,MHL,2025,2.0
