,economy,time,EG.ELC.ACCS.ZS
200,AND,YR1971,
201,AND,YR1972,
202,AND,YR1973,
203,AND,YR1974,
204,AND,YR1975,
205,AND,YR1976,
206,AND,YR1977,
207,AND,YR1978,
208,AND,YR1979,
209,AND,YR1980,
210,AND,YR1981,
211,AND,YR1982,
212,AND,YR1983,
213,AND,YR1984,
214,AND,YR1985,
215,AND,YR1986,
216,AND,YR1987,
217,AND,YR1988,
218,AND,YR1989,
219,AND,YR1990,100.0
220,AND,YR1991,100.0
221,AND,YR1992,100.0
222,AND,YR1993,100.0
223,AND,YR1994,100.0
224,AND,YR1995,100.0
225,AND,YR1996,100.0
226,AND,YR1997,100.0
227,AND,YR1998,100.0
228,AND,YR1999,100.0
229,AND,YR2000,100.0
230,AND,YR2001,100.0
231,AND,YR2002,100.0
232,AND,YR2003,100.0
233,AND,YR2004,100.0
234,AND,YR2005,100.0
235,AND,YR2006,100.0
236,AND,YR2007,100.0
237,AND,YR2008,100.0
238,AND,YR2009,100.0
239,AND,YR2010,100.0
240,AND,YR2011,100.0
241,AND,YR2012,100.0
242,AND,YR2013,100.0
243,AND,YR2014,100.0
244,AND,YR2015,100.0
245,AND,YR2016,100.0
246,AND,YR2017,100.0
247,AND,YR2018,100.0
248,AND,YR2019,100.0
249,AND,YR2020,100.0
250,AND,YR2021,100.0
251,AND,YR2022,
252,ARB,YR1960,
253,ARB,YR1961,
254,ARB,YR1962,
255,ARB,YR1963,
256,ARB,YR1964,
257,ARB,YR1965,
258,ARB,YR1966,
259,ARB,YR1967,
260,ARB,YR1968,
261,ARB,YR1969,
262,ARB,YR1970,
263,ARB,YR1971,
264,ARB,YR1972,
265,ARB,YR1973,
266,ARB,YR1974,
267,ARB,YR1975,
268,ARB,YR1976,
269,ARB,YR1977,
270,ARB,YR1978,
271,ARB,YR1979,
272,ARB,YR1980,
273,ARB,YR1981,
274,ARB,YR1982,
275,ARB,YR1983,
276,ARB,YR1984,
277,ARB,YR1985,
278,ARB,YR1986,
279,ARB,YR1987,
280,ARB,YR1988,
281,ARB,YR1989,
282,ARB,YR1990,
283,ARB,YR1991,
284,ARB,YR1992,
285,ARB,YR1993,
286,ARB,YR1994,
287,ARB,YR1995,
288,ARB,YR1996,76.9643258346782
289,ARB,YR1997,77.6235206960992
290,ARB,YR1998,78.5214088297257
291,ARB,YR1999,79.1123196438608
292,ARB,YR2000,81.1088514888742
293,ARB,YR2001,81.9362229180982
294,ARB,YR2002,81.904018690261
295,ARB,YR2003,82.8882187063161
296,ARB,YR2004,82.8302877953228
297,ARB,YR2005,83.5904598044664
298,ARB,YR2006,85.8158684379698
299,ARB,YR2007,84.1525012379926
300,ARB,YR2008,83.8383594748195
301,ARB,YR2009,84.7358382489694
302,ARB,YR2010,87.4822309999527
303,ARB,YR2011,87.7195690812728
304,ARB,YR2012,87.4025016291348
305,ARB,YR2013,89.3407047759842
306,ARB,YR2014,88.832275926882
307,ARB,YR2015,89.0538515925881
308,ARB,YR2016,89.5390160628709
309,ARB,YR2017,90.6627537412759
310,ARB,YR2018,89.1769388289388
311,ARB,YR2019,90.3528022912948
312,ARB,YR2020,90.6350500075048
