,economy,time,CC.EST
186,ALB,YR2020,-0.572924494743347
187,ALB,YR2021,-0.576535522937775
188,ALB,YR2022,-0.407875537872314
189,AND,YR1960,
190,AND,YR1961,
191,AND,YR1962,
192,AND,YR1963,
193,AND,YR1964,
194,AND,YR1965,
195,AND,YR1966,
196,AND,YR1967,
197,AND,YR1968,
198,AND,YR1969,
199,AND,YR1970,
200,AND,YR1971,
201,AND,YR1972,
202,AND,YR1973,
203,AND,YR1974,
204,AND,YR1975,
205,AND,YR1976,
206,AND,YR1977,
207,AND,YR1978,
208,AND,YR1979,
209,AND,YR1980,
210,AND,YR1981,
211,AND,YR1982,
212,AND,YR1983,
213,AND,YR1984,
214,AND,YR1985,
215,AND,YR1986,
216,AND,YR1987,
217,AND,YR1988,
218,AND,YR1989,
219,AND,YR1990,
220,AND,YR1991,
221,AND,YR1992,
222,AND,YR1993,
223,AND,YR1994,
224,AND,YR1995,
225,AND,YR1996,1.31814324855804
226,AND,YR1997,
227,AND,YR1998,1.33475875854492
228,AND,YR1999,
229,AND,YR2000,1.31340384483337
230,AND,YR2001,
231,AND,YR2002,1.31074380874634
232,AND,YR2003,1.33278954029083
233,AND,YR2004,1.11915028095245
234,AND,YR2005,1.26966309547424
235,AND,YR2006,1.25131320953369
236,AND,YR2007,1.26187098026276
237,AND,YR2008,1.27677536010742
238,AND,YR2009,1.3177649974823
239,AND,YR2010,1.30177271366119
240,AND,YR2011,1.27229809761047
241,AND,YR2012,1.26053082942963
242,AND,YR2013,1.25354850292206
243,AND,YR2014,1.22070860862732
244,AND,YR2015,1.15181076526642
245,AND,YR2016,1.15955591201782
246,AND,YR2017,1.17175841331482
247,AND,YR2018,1.17916560173035
248,AND,YR2019,1.17659223079681
249,AND,YR2020,1.26600527763367
250,AND,YR2021,1.2798718214035
251,AND,YR2022,1.27020359039307
252,ARB,YR1960,
253,ARB,YR1961,
254,ARB,YR1962,
255,ARB,YR1963,
256,ARB,YR1964,
257,ARB,YR1965,
258,ARB,YR1966,
259,ARB,YR1967,
260,ARB,YR1968,
261,ARB,YR1969,
262,ARB,YR1970,
263,ARB,YR1971,
264,ARB,YR1972,
265,ARB,YR1973,
266,ARB,YR1974,
267,ARB,YR1975,
268,ARB,YR1976,
269,ARB,YR1977,
270,ARB,YR1978,
271,ARB,YR1979,
272,ARB,YR1980,
273,ARB,YR1981,
