,economy,time,ID.OWN.BRTH.ZS
229,BGD,YR2011,
230,BGD,YR2012,
231,BGD,YR2013,
232,BGD,YR2014,
233,BGD,YR2015,
234,BGD,YR2016,
235,BGD,YR2017,
236,BGD,YR2018,
237,BGD,YR2019,39.1
238,BGD,YR2020,
239,BGD,YR2021,
240,BGR,YR2006,
241,BGR,YR2007,
242,BGR,YR2008,
243,BGR,YR2009,
244,BGR,YR2010,
245,BGR,YR2011,
246,BGR,YR2012,
247,BGR,YR2013,
248,BGR,YR2014,
249,BGR,YR2015,
250,BGR,YR2016,
251,BGR,YR2017,
252,BGR,YR2018,
253,BGR,YR2019,
254,BGR,YR2020,100.0
255,BGR,YR2021,
256,BIH,YR2006,97.8
257,BIH,YR2007,
258,BIH,YR2008,
259,BIH,YR2009,
260,BIH,YR2010,
261,BIH,YR2011,
262,BIH,YR2012,
263,BIH,YR2013,
264,BIH,YR2014,
265,BIH,YR2015,
266,BIH,YR2016,
267,BIH,YR2017,
268,BIH,YR2018,
269,BIH,YR2019,
270,BIH,YR2020,
271,BIH,YR2021,
272,BLR,YR2006,
273,BLR,YR2007,
274,BLR,YR2008,
275,BLR,YR2009,
276,BLR,YR2010,
277,BLR,YR2011,
278,BLR,YR2012,
279,BLR,YR2013,
280,BLR,YR2014,
281,BLR,YR2015,
282,BLR,YR2016,
283,BLR,YR2017,
284,BLR,YR2018,
285,BLR,YR2019,
286,BLR,YR2020,
287,BLR,YR2021,
288,BLZ,YR2006,
289,BLZ,YR2007,
290,BLZ,YR2008,
291,BLZ,YR2009,
292,BLZ,YR2010,
293,BLZ,YR2011,
294,BLZ,YR2012,
295,BLZ,YR2013,
296,BLZ,YR2014,
297,BLZ,YR2015,
298,BLZ,YR2016,85.8
299,BLZ,YR2017,
300,BLZ,YR2018,
301,BLZ,YR2019,
302,BLZ,YR2020,
303,BLZ,YR2021,
304,BOL,YR2006,
305,BOL,YR2007,
306,BOL,YR2008,
307,BOL,YR2009,
308,BOL,YR2010,
309,BOL,YR2011,
310,BOL,YR2012,
311,BOL,YR2013,
312,BOL,YR2014,
313,BOL,YR2015,
314,BOL,YR2016,91.9
315,BOL,YR2017,
316,BOL,YR2018,
317,BOL,YR2019,
318,BOL,YR2020,
319,BOL,YR2021,
320,BRA,YR2006,
321,BRA,YR2007,
322,BRA,YR2008,
323,BRA,YR2009,
324,BRA,YR2010,
325,BRA,YR2011,
326,BRA,YR2012,
327,BRA,YR2013,
328,BRA,YR2014,
329,BRA,YR2015,
330,BRA,YR2016,
331,BRA,YR2017,
332,BRA,YR2018,
333,BRA,YR2019,
334,BRA,YR2020,
335,BRA,YR2021,
336,BRB,YR2006,
337,BRB,YR2007,
338,BRB,YR2008,
339,BRB,YR2009,
340,BRB,YR2010,
341,BRB,YR2011,
342,BRB,YR2012,97.9
343,BRB,YR2013,
344,BRB,YR2014,
345,BRB,YR2015,
346,BRB,YR2016,
347,BRB,YR2017,
348,BRB,YR2018,
349,BRB,YR2019,
350,BRB,YR2020,
351,BRB,YR2021,
352,BTN,YR2006,
353,BTN,YR2007,
354,BTN,YR2008,
355,BTN,YR2009,
356,BTN,YR2010,99.7
357,BTN,YR2011,
358,BTN,YR2012,
359,BTN,YR2013,
360,BTN,YR2014,
361,BTN,YR2015,
362,BTN,YR2016,
363,BTN,YR2017,
364,BTN,YR2018,
365,BTN,YR2019,
366,BTN,YR2020,
367,BTN,YR2021,
368,BWA,YR2006,
369,BWA,YR2007,
370,BWA,YR2008,
371,BWA,YR2009,
372,BWA,YR2010,
373,BWA,YR2011,
374,BWA,YR2012,
375,BWA,YR2013,
376,BWA,YR2014,
377,BWA,YR2015,
378,BWA,YR2016,
379,BWA,YR2017,87.5
380,BWA,YR2018,
381,BWA,YR2019,
382,BWA,YR2020,
383,BWA,YR2021,
384,CAF,YR2006,
385,CAF,YR2007,
386,CAF,YR2008,
387,CAF,YR2009,
388,CAF,YR2010,
389,CAF,YR2011,
390,CAF,YR2012,
391,CAF,YR2013,
392,CAF,YR2014,
393,CAF,YR2015,
394,CAF,YR2016,
395,CAF,YR2017,
396,CAF,YR2018,
397,CAF,YR2019,31.8
398,CAF,YR2020,
399,CAF,YR2021,
400,CAN,YR2006,
401,CAN,YR2007,
402,CAN,YR2008,
403,CAN,YR2009,
404,CAN,YR2010,
405,CAN,YR2011,
406,CAN,YR2012,
407,CAN,YR2013,
408,CAN,YR2014,
409,CAN,YR2015,
410,CAN,YR2016,
411,CAN,YR2017,
412,CAN,YR2018,
413,CAN,YR2019,100.0
414,CAN,YR2020,
415,CAN,YR2021,
416,CHE,YR2006,
417,CHE,YR2007,
418,CHE,YR2008,
419,CHE,YR2009,
420,CHE,YR2010,
421,CHE,YR2011,
422,CHE,YR2012,
423,CHE,YR2013,
424,CHE,YR2014,
425,CHE,YR2015,
426,CHE,YR2016,
427,CHE,YR2017,
428,CHE,YR2018,
429,CHE,YR2019,100.0
430,CHE,YR2020,
431,CHE,YR2021,
432,CHL,YR2006,
433,CHL,YR2007,
434,CHL,YR2008,
435,CHL,YR2009,
436,CHL,YR2010,
437,CHL,YR2011,
438,CHL,YR2012,
439,CHL,YR2013,
440,CHL,YR2014,
441,CHL,YR2015,
442,CHL,YR2016,
443,CHL,YR2017,
444,CHL,YR2018,
445,CHL,YR2019,
446,CHL,YR2020,
447,CHL,YR2021,
448,CHN,YR2006,
449,CHN,YR2007,
450,CHN,YR2008,
451,CHN,YR2009,
452,CHN,YR2010,
453,CHN,YR2011,
454,CHN,YR2012,
455,CHN,YR2013,
456,CHN,YR2014,
457,CHN,YR2015,
458,CHN,YR2016,
459,CHN,YR2017,
460,CHN,YR2018,
461,CHN,YR2019,
462,CHN,YR2020,
463,CHN,YR2021,
464,CIV,YR2006,
465,CIV,YR2007,
466,CIV,YR2008,
467,CIV,YR2009,
468,CIV,YR2010,
469,CIV,YR2011,
470,CIV,YR2012,
471,CIV,YR2013,
472,CIV,YR2014,
473,CIV,YR2015,
474,CIV,YR2016,59.5
475,CIV,YR2017,
476,CIV,YR2018,
477,CIV,YR2019,
478,CIV,YR2020,
479,CIV,YR2021,
480,CMR,YR2006,
481,CMR,YR2007,
482,CMR,YR2008,
483,CMR,YR2009,
484,CMR,YR2010,
485,CMR,YR2011,
486,CMR,YR2012,
487,CMR,YR2013,
488,CMR,YR2014,
489,CMR,YR2015,
490,CMR,YR2016,
491,CMR,YR2017,
